/* DATA DESCRIPTION:
Citation:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2014): Respiration rate of pelagic copepods determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833824
Related to:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2007): Respiration in marine pelagic copepods: a global-bathymetric model. Marine Ecology Progress Series, 339, 215-219, https://doi.org/10.3354/meps339215
Event(s):	Copepods-global_RESEXP * METHOD/DEVICE: Experiment (EXP) * COMMENT: respiration rate experiment using cultures from different sources
Parameter(s):	Species (Species) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Uniform resource locator/link to reference (URL ref) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Stage (Stage) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	DEPTH, water [m] (Depth water) * GEOCODE
	Treatment: temperature [°C] (Treat temp) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Respiration rate, oxygen, per individual [µl/#/h] (Resp O2/ind) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Body mass, dry [mg] (BM dry) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Nitrogen mass [mg] (N) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Carbon mass [mg] (C) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Reference of data (Ref data) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1777 data points
*/
Species	URL ref	Stage	Depth water [m]	Treat temp [°C]	Resp O2/ind [µl/#/h]	BM dry [mg]	N [mg]	C [mg]	Ref data
Chiridius pacificus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346278	C6F	750	3.0	0.420	0.692	0.080	0.3	Ikeda et al. (2006)
Chirundina streetsi	https://www.marinespecies.org/aphia.php?p=taxdetails&id=416524	C6F	750	3.0	0.787	1.237	0.158	0.5	Ikeda et al. (2006)
Cornucalanus indicus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104691	C5F	1500	2.0	0.962	3.550	0.299	1.8	Ikeda et al. (2006)
Cornucalanus indicus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104691	C6F	1500	2.0	1.017	6.919	0.549	3.8	Ikeda et al. (2006)
Euaugaptilus pseudaffinis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=351649	C6F	2500	1.5	0.202	1.681	0.127	0.9	Ikeda et al. (2006)
Euchirella brevis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=149723	C6F	750	3.0	0.510	0.952	0.084	0.5	Ikeda et al. (2006)
Euchirella galeata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=149724	C6F	750	3.0	1.139	2.459	0.280	1.1	Ikeda et al. (2006)
Euchirella messinensis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104301	C6F	750	3.0	1.020	1.917	0.215	0.9	Ikeda et al. (2006)
Euchirella rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104303	C6F	750	3.0	0.558	0.930	0.086	0.5	Ikeda et al. (2006)
Euchirella rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104303	C6F	1500	2.0	0.242	0.804	0.090	0.4	Ikeda et al. (2006)
Euchirella rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104303	C6F	1500	2.0	0.511	0.820	0.102	0.3	Ikeda et al. (2006)
Euchirella truncata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104304	C4M	750	3.0	0.086	0.517	0.054	0.2	Ikeda et al. (2006)
Gaetanus paracurvicornis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=342622	C6F	2500	1.5	0.222	0.735	0.069	0.3	Ikeda et al. (2006)
Gaidius brevispinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104316	C6F	750	3.0	0.432	0.914	0.077	0.4	Ikeda et al. (2006)
Gaidius brevispinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104317	C6F	750	3.0	0.362	0.949	0.104	0.4	Ikeda et al. (2006)
Gaidius brevispinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104316	C6F	1500	2.0	0.270	0.971	0.099	0.4	Ikeda et al. (2006)
Gaidius robustus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104320	C4F	750	3.0	0.228	0.381	0.041	0.2	Ikeda et al. (2006)
Gaidius robustus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104320	C5M	2500	1.5	0.251	0.708	0.068	0.3	Ikeda et al. (2006)
Gaidius robustus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104320	C5M	2500	1.5	0.785	3.444	0.209	2.2	Ikeda et al. (2006)
Gaidius robustus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104320	C5M	2500	1.5	0.346	1.261	0.104	0.5	Ikeda et al. (2006)
Gaidius robustus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104320	C6F	2500	1.5	1.322	7.030	0.672	3.5	Ikeda et al. (2006)
Gaidius tenuispinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104321	C5F	750	3.0	0.770	1.238	0.117	0.6	Ikeda et al. (2006)
Gaidius tenuispinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104322	C6F	750	3.0	0.251	0.436	0.053	0.2	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C5F	750	3.0	0.225	0.323	0.034	0.1	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C5F	2500	1.5	0.258	0.835	0.085	0.4	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C5M	750	3.0	0.237	0.488	0.051	0.2	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C6F	750	3.0	0.295	0.509	0.055	0.2	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C6F	1500	2.0	0.187	0.672	0.067	0.3	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C6F	1500	2.0	0.300	0.935	0.100	0.4	Ikeda et al. (2006)
Gaidius variabilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=365685	C6F	2500	1.5	0.155	1.316	0.102	0.7	Ikeda et al. (2006)
Heterostylites major	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104587	C6F	2500	1.5	0.162	0.528	0.050	0.2	Ikeda et al. (2006)
Lophothrix frontalis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104779	C6F	1500	2.0	0.922	3.190	0.303	1.5	Ikeda et al. (2006)
Lophothrix frontalis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104779	C6F	1500	2.0	0.607	1.416	0.128	0.8	Ikeda et al. (2006)
Lucicutia bicornuta	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104594	C6F	1500	2.0	0.247	1.017	0.075	0.5	Ikeda et al. (2006)
Lucicutia bicornuta	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104594	C6M	750	3.0	0.121	0.625	0.050	0.3	Ikeda et al. (2006)
Lucicutia ellipsoidalis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=353206	C6F	2500	1.5	0.271	0.777	0.049	0.4	Ikeda et al. (2006)
Lucicutia grandis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220908	C5F	750	3.0	0.113	0.429	0.032	0.2	Ikeda et al. (2006)
Lucicutia grandis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220908	C6F	2500	1.5	0.238	1.398	0.093	0.7	Ikeda et al. (2006)
Lucicutia grandis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220908	C6M	1500	2.0	0.408	2.192	0.190	1.2	Ikeda et al. (2006)
Lucicutia grandis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220908	C6M	2500	1.5	0.157	1.528	0.093	0.9	Ikeda et al. (2006)
Lucicutia longifurca	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346632	C5	2500	1.5	0.122	1.189	0.095	0.6	Ikeda et al. (2006)
Lucicutia longifurca	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346632	C6M	2500	1.5	0.291	1.534	0.092	0.9	Ikeda et al. (2006)
Lucicutia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=353211	C6F	1500	2.0	0.268	1.810	0.131	0.9	Ikeda et al. (2006)
Lucicutia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=353211	C6F	1500	2.0	0.451	1.634	0.119	0.8	Ikeda et al. (2006)
Lucicutia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=353211	C6F	2500	1.5	0.271	1.705	0.132	0.9	Ikeda et al. (2006)
Metridia asymmetrica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346674	C6F	750	3.0	0.175	0.457	0.033	0.2	Ikeda et al. (2006)
Metridia asymmetrica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346674	C6F	1500	2.0	0.046	0.360	0.027	0.2	Ikeda et al. (2006)
Metridia asymmetrica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346674	C6F	1500	2.0	0.077	0.344	0.025	0.2	Ikeda et al. (2006)
Metridia asymmetrica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346674	C6F	2500	1.5	0.083	0.425	0.032	0.2	Ikeda et al. (2006)
Metridia asymmetrica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346674	C6F	2500	1.5	0.138	0.453	0.037	0.2	Ikeda et al. (2006)
Metridia curticauda	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104628	C6F	750	3.0	0.141	0.484	0.034	0.3	Ikeda et al. (2006)
Metridia curticauda	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104628	C6F	1500	2.0	0.066	0.990	0.073	0.5	Ikeda et al. (2006)
Metridia okhotensis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196783	C6F	750	3.0	0.292	0.713	0.050	0.4	Ikeda et al. (2006)
Metridia ornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344690	C5F	2500	1.5	0.400	1.906	0.162	0.9	Ikeda et al. (2006)
Metridia ornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344690	C6F	1500	2.0	0.241	2.900	0.232	1.5	Ikeda et al. (2006)
Metridia ornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344690	C6F	2500	1.5	0.276	1.267	0.102	0.6	Ikeda et al. (2006)
Metridia ornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344690	C6M	2500	1.5	0.226	0.868	0.072	0.4	Ikeda et al. (2006)
Metridia ornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344690	C6M	2500	1.5	0.191	0.818	0.063	0.4	Ikeda et al. (2006)
Mixtocalanus robstus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=348218	C6F	750	3.0	0.774	1.008	0.112	0.5	Ikeda et al. (2006)
Onchocalanus magnus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104696	C5F	1500	2.0	0.983	6.596	0.479	4.0	Ikeda et al. (2006)
Onchocalanus magnus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104696	C6F	1500	2.0	1.131	5.770	0.421	2.8	Ikeda et al. (2006)
Pachyptilus pacificus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221314	C6F	750	3.0	0.463	2.065	0.129	0.9	Ikeda et al. (2006)
Pachyptilus pacificus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221314	C6F	1500	2.0	0.157	2.410	0.182	1.1	Ikeda et al. (2006)
Pachyptilus pacificus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221314	C6F	2500	1.5	0.136	2.724	0.188	1.2	Ikeda et al. (2006)
Paraeuchaeta barbata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104557	C6F	750	3.0	0.703	3.862	0.246	2.4	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C5F	750	3.0	0.448	1.793	0.131	1.0	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C5M	750	3.0	0.366	1.351	0.095	0.8	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C5M	1500	2.0	0.340	3.527	0.279	2.2	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6F	750	3.0	0.796	4.852	0.363	2.8	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6F	1500	2.0	0.490	4.217	0.299	2.4	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6F	1500	2.0	0.812	4.460	0.340	2.6	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6F	2500	1.5	1.787	8.892	0.774	4.9	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6M	1500	2.0	0.600	2.472	0.187	1.5	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6M	1500	2.0	0.350	2.455	0.185	1.5	Ikeda et al. (2006)
Paraeuchaeta birostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359844	C6M	2500	1.5	0.556	2.155	0.148	1.3	Ikeda et al. (2006)
Paraeuchaeta brevirostris	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359845	C6F	750	3.0	1.009	4.969	0.357	2.9	Ikeda et al. (2006)
Paraeuchaeta brevirostris	https://www.marinespecies.org/aphia.php?p=taxdetails&id=359845	C6F	1500	2.0	0.668	4.808	0.365	2.9	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C4F	750	3.0	0.244	0.939	0.066	0.6	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C4M	750	3.0	0.176	0.714	0.052	0.4	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5F	750	3.0	0.286	1.192	0.083	0.7	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5F	750	3.0	0.550	2.380	0.174	1.4	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5F	1500	2.0	0.740	2.130	0.188	1.1	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5M	750	3.0	0.314	1.122	0.079	0.7	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5M	750	3.0	0.261	1.245	0.096	0.7	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C5M	1500	2.0	0.445	2.152	0.173	1.3	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C6F	750	3.0	0.846	5.715	0.384	3.4	Ikeda et al. (2006)
Paraeuchaeta elongata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196779	C6F	750	3.0	1.030	1.943	0.185	1.0	Ikeda et al. (2006)
Paraeuchaeta modesta	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354600	C6F	750	3.0	1.080	3.867	0.287	2.3	Ikeda et al. (2006)
Paraeuchaeta orientalis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354602	C6F	750	3.0	1.617	8.557	0.529	4.7	Ikeda et al. (2006)
Paraeuchaeta pseudotumidula	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354608	C6F	750	3.0	0.796	2.585	0.173	1.5	Ikeda et al. (2006)
Paraeuchaeta pseudotumidula	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354608	C6F	1500	2.0	0.634	2.977	0.215	1.7	Ikeda et al. (2006)
Paraeuchaeta pseudotumidula	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354608	C6F	2500	1.5	0.310	1.157	0.090	0.7	Ikeda et al. (2006)
Paraeuchaeta pseudotumidula	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354608	C6M	750	3.0	0.540	2.272	0.171	1.3	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C5F	1500	2.0	0.390	1.904	0.170	1.1	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C5F	2500	1.5	0.264	2.125	0.149	1.2	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C5M	750	3.0	0.491	1.902	0.132	1.1	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C5M	1500	2.0	0.250	2.098	0.157	1.3	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C5M	2500	1.5	0.269	2.640	0.175	1.6	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C6F	750	3.0	0.580	3.498	0.273	2.0	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C6F	1500	2.0	0.660	4.625	0.293	2.6	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C6F	2500	1.5	0.839	4.638	0.339	2.8	Ikeda et al. (2006)
Paraeuchaeta rubra	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354609	C6M	1500	2.0	0.238	1.650	0.124	1.1	Ikeda et al. (2006)
Pleuromamma scutullata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354842	C6F	750	3.0	0.276	0.429	0.031	0.2	Ikeda et al. (2006)
Pleuromamma scutullata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354841	C6M	750	3.0	0.316	0.564	0.067	0.3	Ikeda et al. (2006)
Pleuromamma xiphias	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104643	C6F	750	3.0	0.472	0.563	0.067	0.2	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C5	2500	1.5	1.495	4.074	0.331	2.2	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C5F	1500	2.0	0.513	1.945	0.150	1.1	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C5F	1500	2.0	0.600	1.637	0.144	0.9	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C5M	750	3.0	0.488	0.700	0.071	0.3	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C5M	1500	2.0	0.430	0.554	0.051	0.3	Ikeda et al. (2006)
Pseudochirella pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355087	C6F	2500	1.5	1.000	2.772	0.310	1.2	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C5F	2500	1.5	0.156	1.085	0.070	0.6	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C6F	1500	2.0	0.850	2.525	0.263	1.2	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C6F	1500	2.0	0.645	3.057	0.291	1.6	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C6F	2500	1.5	0.890	2.688	0.256	1.3	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C6F	2500	1.5	1.762	4.146	0.452	2.0	Ikeda et al. (2006)
Pseudochirella polyspina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=221292	C6F	2500	1.5	0.922	2.533	0.261	1.3	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C5F	1500	2.0	0.422	1.790	0.147	1.0	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C5M	750	3.0	0.583	1.592	0.125	0.9	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C5M	750	3.0	0.632	1.275	0.109	0.7	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C5M	2500	1.5	0.935	3.639	0.235	2.2	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C6M	1500	2.0	0.176	1.200	0.108	0.6	Ikeda et al. (2006)
Pseudochirella spinifera	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355088	C6M	1500	2.0	0.290	1.363	0.102	0.8	Ikeda et al. (2006)
Scaphocalanus affinis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104786	C5F	2500	1.5	0.503	2.577	0.142	1.6	Ikeda et al. (2006)
Scaphocalanus affinis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104786	C6F	2500	1.5	0.373	1.524	0.137	0.8	Ikeda et al. (2006)
Scaphocalanus magnus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104798	C6F	1500	2.0	0.440	1.166	0.116	0.6	Ikeda et al. (2006)
Scaphocalanus medius	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104799	C6F	750	3.0	0.411	1.062	0.079	0.6	Ikeda et al. (2006)
Scaphocalanus medius	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104799	C6F	1500	2.0	0.263	1.115	0.080	0.7	Ikeda et al. (2006)
Scolecithricella sp.	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104229	C6F	2500	1.5	0.135	0.447	0.038	0.2	Ikeda et al. (2006)
